sweep,method,rejection_rate,rejection_se,mean_bias_vs_date_sr,mean_se,n_valid,n_sim,T,N,rho_cross,ar1_serial,true_mu,true_sharpe
"rho=0.3, N=50",row_naive,0.354,0.015122301412152848,0.0003822242664948288,0.07100051729321491,1000,1000,1000,50,0.3,0.2,0.0,0.0
"rho=0.3, N=50",hac_delta,0.044,0.006485676526007136,9.09337928712528e-05,0.5989440361238245,1000,1000,1000,50,0.3,0.2,0.0,0.0
"rho=0.1, N=50",row_naive,0.31,0.014625320509308504,0.010500186363713002,0.07099602947340483,1000,1000,1000,50,0.1,0.2,0.0,0.0
"rho=0.1, N=50",hac_delta,0.064,0.007739767438366608,0.030866141617699103,0.5977647927143107,1000,1000,1000,50,0.1,0.2,0.0,0.0
"rho=0.5, N=50",row_naive,0.409,0.015547314880711717,0.0037325999012592682,0.07100644809920638,1000,1000,1000,50,0.5,0.2,0.0,0.0
"rho=0.5, N=50",hac_delta,0.047,0.006692607862410586,0.005248382404097512,0.5974420660214976,1000,1000,1000,50,0.5,0.2,0.0,0.0
"rho=0.0, N=50",row_naive,0.097,0.00935900635751467,0.002431224429694964,0.07099348406411578,1000,1000,1000,50,0.0,0.2,0.0,0.0
"rho=0.0, N=50",hac_delta,0.056,0.007270763371201128,0.01697359817643884,0.5975881898407301,1000,1000,1000,50,0.0,0.2,0.0,0.0
"N=5, rho=0.35",row_naive,0.192,0.012455360291858283,-0.012769035202444375,0.22454013441416465,1000,1000,1000,5,0.35,0.2,0.0,0.0
"N=5, rho=0.35",hac_delta,0.058,0.007391616873188166,-0.018256245486502145,0.5983735130674577,1000,1000,1000,5,0.35,0.2,0.0,0.0
"N=25, rho=0.35",row_naive,0.308,0.014599178059055242,-0.016033068572033165,0.10041339757712825,1000,1000,1000,25,0.35,0.2,0.0,0.0
"N=25, rho=0.35",hac_delta,0.052,0.007021111023192838,-0.025773792944784952,0.5998833287970639,1000,1000,1000,25,0.35,0.2,0.0,0.0
"rho=0.7, N=50",row_naive,0.408,0.015541428505771277,0.0038190253790621504,0.07101295418466949,1000,1000,1000,50,0.7,0.2,0.0,0.0
"rho=0.7, N=50",hac_delta,0.06,0.007509993342207435,0.004175358689689002,0.599448363893125,1000,1000,1000,50,0.7,0.2,0.0,0.0
"N=50, rho=0.35",row_naive,0.368,0.015250442616527561,-0.00010463454364354963,0.07100291140342375,1000,1000,1000,50,0.35,0.2,0.0,0.0
"N=50, rho=0.35",hac_delta,0.071,0.008121514637061242,-5.5787975545950275e-05,0.597317053565311,1000,1000,1000,50,0.35,0.2,0.0,0.0
"N=100, rho=0.35",row_naive,0.421,0.015612783224012302,-0.0019017899520426943,0.05020637047473176,1000,1000,1000,100,0.35,0.2,0.0,0.0
"N=100, rho=0.35",hac_delta,0.056,0.007270763371201128,-0.002907468120115375,0.5984226384004042,1000,1000,1000,100,0.35,0.2,0.0,0.0
