true_mu,true_sharpe,method,power,n
0.0,0.0,date_iid,0.081,1000
0.0,0.0,hac_delta,0.053,1000
0.0,0.0,moving_block,0.058,1000
0.0,0.0,romano_wolf,0.055,1000
0.0,0.0,row_naive,0.371,1000
0.0,0.0,stationary,0.056,1000
5e-05,0.0944309136471172,date_iid,0.105,1000
5e-05,0.0944309136471172,hac_delta,0.071,1000
5e-05,0.0944309136471172,moving_block,0.072,1000
5e-05,0.0944309136471172,romano_wolf,0.072,1000
5e-05,0.0944309136471172,row_naive,0.424,1000
5e-05,0.0944309136471172,stationary,0.077,1000
0.0001,0.1888618272942344,date_iid,0.139,1000
0.0001,0.1888618272942344,hac_delta,0.088,1000
0.0001,0.1888618272942344,moving_block,0.094,1000
0.0001,0.1888618272942344,romano_wolf,0.095,1000
0.0001,0.1888618272942344,row_naive,0.495,1000
0.0001,0.1888618272942344,stationary,0.092,1000
0.0002,0.3777236545884688,date_iid,0.219,1000
0.0002,0.3777236545884688,hac_delta,0.151,1000
0.0002,0.3777236545884688,moving_block,0.16,1000
0.0002,0.3777236545884688,romano_wolf,0.162,1000
0.0002,0.3777236545884688,row_naive,0.61,1000
0.0002,0.3777236545884688,stationary,0.162,1000
0.0004,0.7554473091769376,date_iid,0.459,1000
0.0004,0.7554473091769376,hac_delta,0.354,1000
0.0004,0.7554473091769376,moving_block,0.373,1000
0.0004,0.7554473091769376,romano_wolf,0.376,1000
0.0004,0.7554473091769376,row_naive,0.797,1000
0.0004,0.7554473091769376,stationary,0.38,1000
0.0008,1.5108946183538752,date_iid,0.858,1000
0.0008,1.5108946183538752,hac_delta,0.788,1000
0.0008,1.5108946183538752,moving_block,0.805,1000
0.0008,1.5108946183538752,romano_wolf,0.8,1000
0.0008,1.5108946183538752,row_naive,0.985,1000
0.0008,1.5108946183538752,stationary,0.798,1000
0.0015,2.832927409413516,date_iid,1.0,1000
0.0015,2.832927409413516,hac_delta,1.0,1000
0.0015,2.832927409413516,moving_block,1.0,1000
0.0015,2.832927409413516,romano_wolf,1.0,1000
0.0015,2.832927409413516,row_naive,1.0,1000
0.0015,2.832927409413516,stationary,1.0,1000
